pair,trial,repetition,role,tangram,message,num_words,correct
pair04,1,1,director,I,small triangle at the top right of the 'glass',9,1
pair04,2,1,director,L,looks like someone kneeling and praying.  knees slightly bent triangles as hands in front of them.,16,0
pair04,2,1,director,L,'knee' part is not on the ground there are a couple more like that one,15,0
pair04,2,1,matcher,L,can you see feet or no feet on the guy kneeling,11,0
pair04,2,1,director,L,no feet,2,0
pair04,3,1,director,G,hmm kind of looks like someone dancing being dipped backwards.  a large block is on the ground to the left like a dress train.,24,0
pair04,3,1,director,G,arms forward and to the right.  slightly elevated,8,0
pair04,3,1,director,G,head tilted back to the left,6,0
pair04,4,1,director,D,looks like someone standing up facing to the left with their arms out reached to the left.  reminds me of someone in a graduation gown or a professor of some kind,31,1
pair04,5,1,director,E,looks like person sitting on the ground facing to the right with rabbit ears,14,1
pair04,6,1,director,J,this one looks least like a person.  rectangular on left and top with diamond on top of that.  right and bottom kind of look like the side of a vase,30,1
pair04,6,1,director,J,left and top are straight lines,6,1
pair04,7,1,director,A,this one looks like it has two feet and one of them is being kicked to the left just slightly elevated.  looks like they are leaning forward a bit with a square on their back,35,1
pair04,8,1,director,F,this looks like a person sitting on the ground with their legs in front of them to the left.  head tilted slightly forward like they are napping,27,1
pair04,9,1,director,H,looks like a bean with a diamond on top... no legs or anything to make it look like a person,20,1
pair04,9,1,matcher,H,does it kinda look like a bird,7,1
pair04,9,1,director,H,it doesn't really look like anything.  it's like an oval shape with a little bit that sticks out on the bottom right with a diamond above it,27,1
pair04,9,1,matcher,H,or like someone kneeling sitting on their feet,8,1
pair04,9,1,director,H,they could be sitting on their feet,7,1
pair04,10,1,director,C,this looks like someone leaned to the left with both arms in the air,14,1
pair04,10,1,matcher,C,ghost,1,1
pair04,10,1,director,C,yes,1,1
pair04,11,1,director,B,"this is one we haven't had that also looks like someone kneeling, can see feet, arms in both directions head slightly to the right",24,0
pair04,12,1,director,K,this is the one you just picked that looks like someone kneeling with their head straight up,17,1
pair04,13,2,director,F,"this is the one that looks like they are sitting on the ground sleeping, head to the left can see feet",21,0
pair04,13,2,director,F,we've had it before,4,0
pair04,14,2,director,G,this is the one i said looked like someone dancing and being dipped. triangle foot to the right,18,1
pair04,15,2,director,K,this is the kneeling one with the head straight up again,11,1
pair04,16,2,director,I,the first one we did that looks like a cocktail,10,0
pair04,17,2,director,D,this is the one that looks like a professor.  standing straight up facing left,14,1
pair04,18,2,director,A,this is the weird one that looks like a person kicking one of their feet up to the left,19,1
pair04,19,2,director,H,the one that looks like a bean or a person sitting on their feet,14,1
pair04,20,2,director,B,this is the kneeling one where the head is tilted to the right and arms go in both directions,19,1
pair04,21,2,director,C,ghost,1,1
pair04,22,2,director,J,the odd one that doesn't look like a person.  straight edge on left and top,15,1
pair04,23,2,director,E,the one that also looks like someone sitting on the ground napping but facing right and with big triangle bunny ears,21,1
pair04,24,2,director,L,this is the one that looks like they are about to kneel with knees bent to the right but not yet on the ground,24,1
pair04,25,3,director,K,the kneeling one that is straight up and facing right,10,1
pair04,26,3,director,A,the weird one with the foot kicking up to the left,11,1
pair04,27,3,director,E,the rabbit ears,3,1
pair04,28,3,director,L,about to kneel,3,1
pair04,29,3,director,H,bean,1,1
pair04,30,3,director,I,cocktail,1,1
pair04,30,3,matcher,I,bird,1,1
pair04,31,3,director,J,straight left and top,4,1
pair04,32,3,director,G,dancing person,2,1
pair04,33,3,director,B,kneeling with arms in both directions and tilted head,9,1
pair04,34,3,director,C,ghost,1,1
pair04,35,3,director,D,professor,1,1
pair04,36,3,director,F,sitting on ground without rabbit ears,6,0
pair04,37,4,director,H,bean,1,1
pair04,38,4,director,K,kneeling straight up,3,1
pair04,39,4,director,G,dancing,1,1
pair04,40,4,director,B,kneeling arms in both directions,5,1
pair04,41,4,director,J,straight left and top,4,1
pair04,42,4,director,E,rabbit ears,2,1
pair04,43,4,director,I,bird,1,1
pair04,44,4,director,F,sitting on ground facing left with no ears,8,1
pair04,45,4,director,C,ghost,1,1
pair04,46,4,director,D,professor,1,1
pair04,47,4,director,L,about to kneel,3,1
pair04,48,4,director,A,weird leg kicking to the left,6,1
pair04,49,5,director,E,rabbit ears,2,1
pair04,50,5,director,J,straight left and top,4,1
pair04,51,5,director,C,ghost,1,1
pair04,52,5,director,I,bird,1,1
pair04,53,5,director,K,kneeling straight up,3,1
pair04,54,5,director,A,weird one with leg kicking,5,1
pair04,55,5,director,H,bean,1,1
pair04,56,5,director,F,sitting to the left no ears,6,1
pair04,57,5,director,B,kneeling tilted head,3,1
pair04,58,5,director,D,professor,1,1
pair04,59,5,director,G,dancing,1,1
pair04,60,5,director,L,about to kneel,3,1
pair04,61,6,director,I,bird,1,1
pair04,62,6,director,K,kneeling straight up,3,1
pair04,63,6,director,G,dancing,1,1
pair04,64,6,director,L,about to kneel,3,1
pair04,65,6,director,A,kicking,1,1
pair04,66,6,director,D,professor,1,1
pair04,67,6,director,F,sitting no ears,3,1
pair04,68,6,director,E,rabbit ears,2,1
pair04,69,6,director,H,bean,1,1
pair04,70,6,director,J,straight left and top,4,1
pair04,71,6,director,B,kneeling tilted head,3,1
pair04,72,6,director,C,ghost,1,1
pair05,1,1,director,J,look for an object that looks like a podium with a flat surface and a diamond on top,18,1
pair05,2,1,director,C,looks like jesus with open arms giving a hug,9,1
pair05,3,1,director,G,"looks like most of the object is on the left, the hug this time has his head thrust backward",19,0
pair05,4,1,director,A,"looks like a an animal or person with one foot up and forward, the head is thrust backward",18,1
pair05,5,1,director,I,"imagine an dancer posed with one leg backward and arms forward.  head is upright, about to twirl.",17,1
pair05,6,1,director,D,this looks like someone holding a box about to take up an offering a church.  they are wearing a graduation cap.,21,1
pair05,7,1,director,E,"a person sits under a tree for a rest, they face right and knees are upward",16,1
pair05,8,1,director,H,"a person prays on their knees , they have a diamond head, knees are folders so you cannot see the feet.",21,0
pair05,9,1,director,K,"a person sits at a desk, facing right.   the image has a brides train compared to one that doesn't",19,0
pair05,10,1,director,L,"this person is similar to the last, only this person does not have the brides train.  faces right at a desk..",21,1
pair05,11,1,director,B,"this person faces left, hands are out and they have angel wings on their back.  they are praying with face held to the sky.",24,0
pair05,12,1,director,F,this person is resting but this time not under a plant.  they are facing left instead of right this time.  they have a fat tummy.,25,0
pair05,12,1,director,F,they sit on the floor,5,0
pair05,13,2,director,G,"this person has praying opening arms like jesus, head is thrust back.  this should seem familiar",16,0
pair05,14,2,director,J,"the podium with the diamond in the middle, a repeat",10,1
pair05,15,2,director,A,"a repeat, the fat man with one foot up and forward, his head is thrust backward.",16,1
pair05,16,2,director,C,jesus giving a hug.  repeat.,5,1
pair05,17,2,director,D,this is the man a church taking up an offering.  diamond head.  repeat,13,0
pair05,18,2,director,K,"this person is the bride sitting at the desk with a train, a repeat, the train goes up not down",20,1
pair05,19,2,director,F,"the man is sitting on the floor under a tree, this was missed last time.  he is facing left, fat tummy.",21,1
pair05,19,2,director,F,he sits on the floor,5,1
pair05,20,2,director,B,"this is a woman with angel's wings on her back, facing left.  she looks like she is praying.  a repeat",20,1
pair05,21,2,director,H,"this is the person sitting on the floor facing foward with knees bent, you can't see feet.  a repeat.",19,0
pair05,22,2,director,I,"this is the person dancing about to twirl, back leg is upward,  arms stretched forward.  repeat",16,1
pair05,23,2,director,E,"this is a repeat.  the person sits under a tree, facing right, knees are up.",15,1
pair05,23,2,director,E,on the floor,3,1
pair05,24,2,director,L,"this is the bride sitting at the desk, without the train being up the train is down.",17,1
pair05,24,2,director,L,facing right.,2,1
pair05,25,3,director,D,this is the person taking up the offering a church holding a box.,13,1
pair05,26,3,director,B,the angels wings are on the back.  she's praying. repeat,10,1
pair05,27,3,director,H,"a bride at a desk with no train at all, ,in the past i said the persons knees were bent without showing feet",23,1
pair05,28,3,director,J,podium diamond,2,1
pair05,29,3,director,L,desk with train down,4,1
pair05,29,3,director,L,a bride,2,1
pair05,30,3,director,E,sitting under a plant,4,1
pair05,30,3,director,E,repeat,1,1
pair05,31,3,director,A,"foot up, fat man, head thrust backward",7,1
pair05,32,3,director,I,dancing about to twirl,4,1
pair05,33,3,director,G,"hug, with head thrust back, not jesus",7,1
pair05,34,3,director,F,"sitting on the floor, not under a plant",8,1
pair05,35,3,director,K,facing bride at desk with train upward,7,1
pair05,35,3,director,K,bride,1,1
pair05,36,3,director,C,jesus,1,1
pair05,37,4,director,H,bride with no knees no train,6,1
pair05,38,4,director,A,fat man with leg up and front head back,9,1
pair05,39,4,director,C,jesus,1,1
pair05,40,4,director,K,bride at desk train up,5,1
pair05,41,4,director,I,twirl and dance,3,1
pair05,41,4,director,I,leg back,2,1
pair05,42,4,director,J,podium diamond,2,1
pair05,43,4,director,E,sitting under a plant,4,1
pair05,44,4,director,G,"not jesus, but hugging",4,1
pair05,45,4,director,B,the angel with wings on the back,7,1
pair05,45,4,director,B,praying,1,1
pair05,46,4,director,D,the person taking up an offering,6,1
pair05,47,4,director,L,the bride at the desk with train down,8,1
pair05,48,4,director,F,the person sitting on the floor,6,1
pair05,48,4,director,F,no plant,2,1
pair05,49,5,director,G,"no jesus, hugging",3,1
pair05,50,5,director,F,"sitting on the floor, no plant",6,1
pair05,50,5,director,F,left,1,1
pair05,51,5,director,I,twirl and dance,3,1
pair05,52,5,director,L,bride at desk train down,5,1
pair05,53,5,director,J,podium diamond,2,1
pair05,54,5,director,A,"fat man leg up in front, head back",8,1
pair05,55,5,director,B,"angel praying, wings on back",5,1
pair05,56,5,director,E,sitting under plant,3,1
pair05,57,5,director,K,bride at desk train up,5,1
pair05,58,5,director,C,jesus,1,1
pair05,59,5,director,D,man takes up offering at church,6,1
pair05,59,5,director,D,church,1,1
pair05,60,5,director,H,bride with no feet and no train,7,1
pair05,61,6,director,L,bride with train down at desk,6,1
pair05,62,6,director,C,jesus hugging,2,1
pair05,63,6,director,I,twirl and dance,3,1
pair05,64,6,director,A,fat man leg up front head back,7,1
pair05,65,6,director,J,podium diamond,2,1
pair05,66,6,director,B,angel praying,2,1
pair05,67,6,director,H,bride with no feet no train,6,1
pair05,68,6,director,E,sitting under a plant,4,1
pair05,68,6,director,E,right,1,1
pair05,69,6,director,G,not jesus but hugging,4,1
pair05,70,6,director,K,bride at desk with train upward,6,1
pair05,71,6,director,D,man takes up offering,4,1
pair05,72,6,director,F,"man sits on the floor, not plant",7,1
pair06,1,1,director,B,this object looks like they are kneeling with their feet like a triangle at the bottom,16,0
pair06,1,1,matcher,B,hands up or just like praying?,6,0
pair06,1,1,director,B,the head looks more like a square tilted down with a triangle coming off of it,16,0
pair06,2,1,director,I,this one has a square head and it looks like they are sticking their right foot back with two triangles for hands,22,0
pair06,3,1,director,G,this one has a square head leaning back with a triangle up in the air and a triangle close to the bottom right of the box,26,0
pair06,4,1,director,F,this one is in a seated position with knees up and toes pointed up,14,0
pair06,4,1,director,F,facing the left side of the box,7,0
pair06,5,1,director,A,this one is lifting their right foot slightly up with the square going down the backside,16,1
pair06,6,1,director,E,this one looks like a funny hat on top of the square head,13,1
pair06,7,1,director,K,this one has a diamond shape for a head with a triangle sticking out in the front like hands praying,20,1
pair06,8,1,director,L,this is another diamond shaped head with hands out front praying but the knees are bent,16,1
pair06,9,1,director,C,this one has a diamond shaped head with arms outstretched,10,1
pair06,10,1,director,J,this one is a diamond shaped head with an almost rectangle body,12,1
pair06,11,1,director,H,a diamond shaped head looks like they are sitting with their feet underneath them showing no triangles,17,1
pair06,12,1,director,D,a diamond shaped head with their hands together reaching out as if to give someone something,16,1
pair06,13,2,director,I,diamond shaped head with his back foot out and two triangle arms in front,14,1
pair06,14,2,director,G,this one looks like they are doing some kind of dance with a square head and one arm up and the other down close to the floor,27,0
pair06,15,2,director,E,this one has the funny looking hat with knees up sitting down,12,1
pair06,16,2,director,K,this one has a diamond shaped head sitting on their knees with feet up in a triangle in the back and two hands in a triangle shape in front,29,1
pair06,17,2,director,F,"a diamond shaped head tilted in the front, sitting down with knees up and triangle feet pointing up",18,1
pair06,18,2,director,D,diamond shaped head with the arms out front and together as if handing someone something,15,1
pair06,19,2,director,H,diamond shaped head...looks like they are sitting on their feet,10,1
pair06,19,2,director,H,no triangles sticking out,4,1
pair06,20,2,director,L,"diamond shaped head slightly bending, knees out hands together in triangle shape",12,1
pair06,21,2,director,A,square head going down the backside with a foot being lifted up in front,14,1
pair06,22,2,director,J,diamond shaped head with a rectangle like body,8,1
pair06,23,2,director,B,diamond shaped head kneeling with triangle feet in the back head slightly tilted,13,1
pair06,24,2,matcher,C,?,1,1
pair06,24,2,director,C,diamond shaped head with arms outstretched,6,1
pair06,25,3,director,G,like they are doing some kind of dance,8,0
pair06,26,3,director,C,arms outstretched,2,1
pair06,27,3,director,F,knees up sitting,3,1
pair06,28,3,director,B,kneeling with triangle feet in back head bending,8,0
pair06,29,3,director,E,funny looking hat,3,1
pair06,30,3,director,D,diamond head hands together as if offering something,8,1
pair06,31,3,director,A,square head going down backside with one foot being lifted,10,1
pair06,32,3,director,J,diamond head rectangle like body,5,1
pair06,33,3,director,L,diamond head bending at knees with triangle hands together out in front,12,0
pair06,34,3,director,I,diamond head stretching foot all the way back two triangle hands out in front,14,1
pair06,35,3,director,K,diamond head kneeling with feet pointed up in back,9,1
pair06,35,3,director,K,hands together in front,4,1
pair06,36,3,director,H,diamond head nothing sticking out sitting,6,1
pair06,37,4,director,E,funny hat,2,1
