group,group_size,trial,repetition,tangram,message,n_words,n_correct,n_matchers
group001,4,20,2,B,her triangle arms face left,5,3.0,3
group001,4,20,2,B,she has a triangle  behind her neck,7,3.0,3
group001,4,20,2,B,she is facing left!,4,3.0,3
group001,4,20,2,B,she is kneeling,3,3.0,3
group001,4,21,2,G,This looks like a person falling forward towards the right,10,1.0,3
group001,4,21,2,G,the persons arms are out,5,1.0,3
group001,4,21,2,G,it looks like they are on their knees,8,1.0,3
group001,4,21,2,G,no not above,3,1.0,3
group001,4,21,2,G,it's spread out like she's hugging someone but falling forward,10,1.0,3
group001,4,21,2,G,the head is more square than diamond,7,1.0,3
group001,4,21,2,G,two triangles for arms,4,1.0,3
group001,4,22,2,H,This looks like a man is sitting and facing to the right,12,3.0,3
group001,4,22,2,H,he has a diamond head,5,3.0,3
group001,4,22,2,H,triangle collarbone area,3,3.0,3
group001,4,22,2,H,square body,2,3.0,3
group001,4,22,2,H,yes no arms,3,3.0,3
group001,4,23,2,F,This man is facing left sitting on the ground which his left leg bending,14,3.0,3
group001,4,23,2,F,he is sitting facing left,5,3.0,3
group001,4,23,2,F,no arms yes,3,3.0,3
group001,4,24,3,I,man facing left with arms out to left and one leg up behind him,14,3.0,3
group001,4,25,3,E,man sat on floor facing right with bunny rabbit ears on,11,2.0,3
group001,4,26,3,L,man crouching facing right with arms out in front of him,11,3.0,3
group001,4,27,3,D,looks like a priest facing right or someone holding an open box facing left,14,3.0,3
group001,4,28,3,G,looks like a woman with her arms out falling forward towards the right,13,1.0,3
group001,4,28,3,G,to the side,3,1.0,3
group001,4,28,3,G,trapezium on bottom square head,5,1.0,3
group001,4,28,3,G,two triangles to the right,5,1.0,3
group001,4,28,3,G,triangle to left behind neck,5,1.0,3
group001,4,29,3,A,looks like a man walking to the left with a square backpack on and triangle on his face l,19,3.0,3
group001,4,29,3,A,one leg on floor to the left one leg left is slightly raised,13,3.0,3
group001,4,30,3,C,looks like someone falling with arms above head,8,3.0,3
group001,4,30,3,C,falling backwards to the left,5,3.0,3
group001,4,31,3,B,looks like a woman in a dress with her left foot out,12,3.0,3
group001,4,31,3,B,both arms are raised to each side,7,3.0,3
group001,4,31,3,B,head tilted to the right and down slightly,8,3.0,3
group001,4,31,3,B,right arm is away from her body slightly,8,3.0,3
group001,4,32,3,H,man kneeling facing right no arms,6,1.0,3
group001,4,33,3,J,man stood facing right with arms out in front of him,11,3.0,3
group001,4,33,3,J,or one arm to the right with a long thick back,11,3.0,3
group001,4,33,3,J,triangle on bottom facing right,5,3.0,3
group001,4,34,3,K,man knelt down facing up with his arms out in front of him,13,2.0,3
group001,4,34,3,K,to the right,3,2.0,3
group001,4,34,3,K,yes but not straight back,5,2.0,3
group001,4,35,3,F,man facing left sat on the ground with his knees bent,11,3.0,3
group001,4,36,4,H,no arms looks like an 'i',6,3.0,3
group001,4,37,4,J,left side is completely straight down,6,3.0,3
group001,4,38,4,I,leg lifted behind him to the right,7,3.0,3
group001,4,39,4,E,bunny ears,2,2.0,3
group001,4,40,4,C,falling back to the left,5,3.0,3
group001,4,41,4,L,"crouching to the right, triangle arm out praying, knees bent",10,3.0,3
group001,4,42,4,K,"similar to last one, facing right praying, but with knees on the floor",13,3.0,3
group001,4,43,4,F,sat facing left with one knee up,7,3.0,3
group001,4,44,4,A,leg lifted to the left,5,3.0,3
group001,4,44,4,A,thriller dance,2,3.0,3
group001,4,45,4,D,priest facing left carrying a box,6,3.0,3
group001,4,46,4,B,"one of the tricky ones, someone kneeling to the left with triangle arms out wide - right arm detached from body",21,3.0,3
group001,4,46,4,B,kneeling to the RIGHT i mean,6,3.0,3
group001,4,46,4,B,could also be a dog facing left with a square and triangle for ears,14,3.0,3
group001,4,47,4,G,"the other tricky one, like someone stretching out to the right, head tilted back to the left. thick long leg out to the left.",24,3.0,3
group001,4,48,5,J,straight back 2 triangles to the right,7,3.0,3
group001,4,49,5,A,thriller,1,3.0,3
group001,4,50,5,I,the guy kicking right,4,3.0,3
group001,4,50,5,I,facing left,2,3.0,3
group001,4,51,5,B,the woman falling right,4,1.0,3
group001,4,52,5,D,box priest,2,3.0,3
group001,4,53,5,G,the woman laying to the left with her arms behind her and a triangle under her butt,17,2.0,3
group001,4,54,5,L,crouching guy,2,3.0,3
group001,4,54,5,L,facing right,2,3.0,3
group001,4,54,5,L,knees bent,2,3.0,3
group001,4,55,5,C,falling left,2,2.0,3
group001,4,56,5,H,no arms crouching facing right,5,3.0,3
group001,4,56,5,H,"like an ""i""",3,3.0,3
group001,4,57,5,K,the duck with a diamond hat,6,3.0,3
group001,4,57,5,K,facing right,2,3.0,3
group001,4,57,5,K,its a diamond on a diamond,6,3.0,3
group001,4,58,5,F,the guy sitting with a knee up,7,3.0,3
group001,4,59,5,E,bunny ears,2,2.0,3
group001,4,60,6,I,Guy with 1 leg down and one leg facing right,10,3.0,3
group001,4,61,6,G,"tricky one , woman falling to the right",8,1.0,3
group001,4,62,6,E,bunny ears,2,2.0,3
group001,4,63,6,L,crouching guy,2,3.0,3
group001,4,63,6,L,facing right,2,3.0,3
group001,4,63,6,L,he is crouching,3,3.0,3
group001,4,63,6,L,knees bent,2,3.0,3
group001,4,64,6,D,priest with box,3,2.0,3
group001,4,65,6,K,duck,1,3.0,3
group001,4,66,6,C,guy falling to the left,5,2.0,3
group001,4,67,6,B,woman with triangle in front of her dress,8,1.0,3
group001,4,67,6,B,she is facing left,4,1.0,3
group001,4,68,6,A,thriller,1,2.0,3
group001,4,69,6,F,"guy on ground , one knee bent",7,3.0,3
group001,4,70,6,J,straight body guy,3,3.0,3
group001,4,70,6,J,to the left,3,3.0,3
group001,4,70,6,J,hto the right,3,3.0,3
group001,4,70,6,J,long arm triangles,3,3.0,3
group001,4,70,6,J,and short triangle feet,4,3.0,3
group001,4,71,6,H,it's almost the last one,5,3.0,3
group001,4,71,6,H,guy sitting facing right,4,3.0,3
group001,4,71,6,H,no arms,2,3.0,3
group001,4,71,6,H,guy sitting facing right no arms,6,3.0,3
group002,4,0,1,K,"triangle at the bottom, right angled triangle above, 2 rotated squares on top of that. They are touching on their points",21,2.0,3
group002,4,1,1,F,This one looks like a person sat down. Their head is a rotated square.,14,3.0,3
group002,4,1,1,F,They look as if they are sad so the head is tilted down.,13,3.0,3
group002,4,1,1,F,1 knee up no bunny ears.,6,3.0,3
group002,4,2,1,H,Looks like a letter 'i',5,3.0,3
group002,4,2,1,H,no hand it is just a head and a body.,10,3.0,3
group002,4,2,1,H,more like a baby that has been swaddled in a blanket,11,3.0,3
group002,4,3,1,J,square rotated head. The point is touching a straight line and that shape is not a regular shape. It looks as if 1 arm is reaching out to the side.,30,2.0,3
group002,4,3,1,J,There appears to be a foot too.,7,2.0,3
group002,4,4,1,D,This picture looks like a religious person giving a sermon/speech. They look as if they are holding a book to one side.,22,3.0,3
group002,4,4,1,D,no their knees are not bent they are straight,9,3.0,3
group002,4,5,1,I,Looks like someone ice skating.,5,3.0,3
group002,4,5,1,I,there arms are out in front of them and they have one leg lifted off the ground.,17,3.0,3
group002,4,5,1,I,yes to 90 degrees,4,3.0,3
group002,4,6,1,B,"Rotated square at the top, a triangle is touching it's point. They are touching another triangle.",16,3.0,3
group002,4,6,1,B,this picture looks like an animal sat down,8,3.0,3
group002,4,7,1,L,This looks like a person giving a speech from a book again but this time with knees bent,18,3.0,3
group002,4,8,1,C,This looks like a person with their arms raised up,10,2.0,3
group002,4,9,1,G,This one has a square on the left ( ear 1 ) and a 4 sided shape on the right (ear 2) it then has another shape that looks like a rectangle going down.,34,3.0,3
group002,4,9,1,G,it connects to a bigger 4 sided shape at the bottom (trapezium?) with a smaller triangle on the right hand side,21,3.0,3
group002,4,9,1,G,kind of looks like a dog to me,8,3.0,3
group002,4,10,1,A,This one looks like a person dancing. They have one foot on the floor and another foot is raised,19,3.0,3
group002,4,10,1,A,their ears are made from a square shape,8,3.0,3
group002,4,10,1,A,and then another 4 sided shape,6,3.0,3
group002,4,11,1,E,bunny ears,2,3.0,3
group002,4,12,2,F,man sat down with 1 knee up,7,3.0,3
group002,4,13,2,K,"2 squares at the top, connected at 1 point, the bottom square blends into a triangle",16,3.0,3
group002,4,13,2,K,squares are directly above each other vertically,7,3.0,3
group002,4,13,2,K,it's not the bent knee,5,3.0,3
group002,4,14,2,C,"flailing arm, hugging",3,3.0,3
group002,4,14,2,C,2 arms up,3,3.0,3
group002,4,15,2,G,"looks like a dog, at the top there's a square at the left and a triangle on the right. they are connected to another triangle",25,3.0,3
group002,4,15,2,G,"the 3 shapes are connected to a rectangle, connecting to the triangle and a parallelogram",15,3.0,3
group002,4,16,2,D,speaker,1,3.0,3
group002,4,16,2,D,no bent knee,3,3.0,3
group002,4,17,2,A,"dancing man, 1 foot up, 1 down, 2 heads",9,3.0,3
group002,4,18,2,H,swaddled baby,2,3.0,3
group002,4,19,2,I,ice skating man,3,3.0,3
group002,4,19,2,I,2 arms ahead,3,3.0,3
group002,4,19,2,I,1 leg 90 degrees,4,3.0,3
group002,4,20,2,E,bunny ears,2,3.0,3
group002,4,21,2,J,rotated square touching a straight line,6,3.0,3
group002,4,21,2,J,feet out pointing to the right,6,3.0,3
group002,4,21,2,J,the left side of this object is straight all the way,11,3.0,3
group002,4,21,2,J,except for the,3,3.0,3
group002,4,21,2,J,head,1,3.0,3
group002,4,22,2,L,speaker with bent knee,4,3.0,3
group002,4,23,2,B,wings,1,2.0,3
group002,4,23,2,B,man kneeling head facing down,5,2.0,3
group002,4,24,3,I,ice skater,2,2.0,3
group002,4,25,3,D,speaker no bent knee,4,2.0,3
group002,4,25,3,D,knee,1,2.0,3
group002,4,26,3,A,dancing man,2,3.0,3
group002,4,27,3,L,speaker bent knees,3,2.0,3
group002,4,28,3,B,"wings, man head facing down, kneeling",6,1.0,3
group002,4,29,3,H,the baby i,3,2.0,3
group002,4,30,3,F,the sad guy sitting down with knees bent up head slightly  tilted up,13,3.0,3
group002,4,31,3,G,the one that looks like it's doing the lunge exercise,10,3.0,3
group002,4,31,3,G,with arms up,3,3.0,3
group002,4,31,3,G,one leg back,3,3.0,3
group002,4,31,3,G,one foot in front on the right,7,3.0,3
group002,4,32,3,J,horizontal line one with rotated square head,7,3.0,3
group002,4,33,3,K,looks like the speaker with bent knees but he/she is kneeling,11,3.0,3
group002,4,33,3,K,we'll call it kneeling speaker,5,3.0,3
group002,4,34,3,E,bunny ears,2,3.0,3
group002,4,35,3,C,the one that wants a hug,6,2.0,3
group002,4,36,4,B,wings,1,2.0,3
group002,4,36,4,B,"kneeling, head tilted down",4,2.0,3
group002,4,37,4,E,bunny ears,2,3.0,3
group002,4,38,4,G,the one that looks like a dog,7,2.0,3
group002,4,39,4,A,dancing man,2,3.0,3
group002,4,39,4,A,two heads,2,3.0,3
group002,4,40,4,K,"top has two squares, connected at a point, one under the other. The second square looks like its merging into the triangle.",22,3.0,3
group002,4,40,4,K,the last speaker called it a kneeling speaking man - NOT the one with bent knees,16,3.0,3
group002,4,41,4,H,"baby swaddled, looks like an i",6,3.0,3
group002,4,42,4,F,"depressed man, sitting down, one knee bent up, head tilted forward",11,1.0,3
group002,4,43,4,L,"sermon speaker, with bent knees",5,3.0,3
group002,4,44,4,C,man going in for hug,5,3.0,3
group002,4,44,4,C,both arms open wide,4,3.0,3
group002,4,45,4,J,"head is rotated square, the left side a straight line",10,3.0,3
group002,4,46,4,I,ice skating guy,3,2.0,3
group002,4,47,4,D,"man giving a sermon/speaking, straight legs",6,3.0,3
group002,4,48,5,G,dog,1,3.0,3
group002,4,49,5,A,dancing man,2,3.0,3
group002,4,50,5,L,bent speaker,2,2.0,3
group002,4,51,5,C,person trying to hug,4,3.0,3
group002,4,52,5,K,kneeling speaker,2,3.0,3
group002,4,53,5,I,ice skater,2,3.0,3
group002,4,54,5,B,mouse,1,1.0,3
group002,4,54,5,B,"no, point of square and point of 2 different triangles touches",11,1.0,3
group002,4,55,5,E,bunny ears,2,2.0,3
group002,4,56,5,F,depressed man bent knee,4,2.0,3
group002,4,57,5,D,speaker straight legs,3,3.0,3
group002,4,58,5,J,square on top of horizontal line,6,3.0,3
group002,4,59,5,H,swaddled baby,2,3.0,3
group002,4,60,6,K,kneeling speaker,2,3.0,3
group002,4,61,6,A,dancing man,2,3.0,3
group002,4,62,6,B,wings,1,3.0,3
group002,4,63,6,F,sad man knee up,4,2.0,3
group002,4,64,6,H,iBaby,1,3.0,3
group002,4,65,6,J,horizontal line man,3,2.0,3
group002,4,66,6,L,bent knee speaker,3,3.0,3
group002,4,67,6,G,dog,1,3.0,3
group002,4,68,6,E,bunny ears,2,3.0,3
group002,4,69,6,I,ice skater,2,1.0,3
group002,4,70,6,C,hug,1,2.0,3
group002,4,71,6,D,speaker straight,2,2.0,3
group003,4,0,1,C,the one that is slanted to the left and looks like it has two arms reaching up,17,3.0,3
group003,4,1,1,B,the one with a flat bottom part and two small triangles on each side,14,1.0,3
group003,4,1,1,B,like a kneeling person with the feet pointing to the left,11,1.0,3
group003,4,1,1,B,it's the one with a backwards c shape on the left edge,12,1.0,3
group003,4,2,1,I,the one that looks like a standing person with one leg on the ground and one sticking out to the right,21,3.0,3
group003,4,2,1,I,and two triangles pointing left,5,3.0,3
group003,4,3,1,F,this one looks like someone sitting on the floor,9,3.0,3
group003,4,3,1,F,with their legs pointing left,5,3.0,3
group003,4,4,1,J,this one is the squarest one,6,3.0,3
group003,4,4,1,J,with a triangle pointing right,5,3.0,3
group003,4,5,1,G,this one has a c shape on the right and a shape sticking out along the bottom to the left,20,2.0,3
group003,4,5,1,G,and the 'head' is pointing left,6,2.0,3
group003,4,5,1,G,the head meaning the block on top of every shape,10,2.0,3
group003,4,5,1,G,so in this one its pointing left,7,2.0,3
group003,4,5,1,G,and the triangles on the right side make a C shape,11,2.0,3
group003,4,5,1,G,and on the left oo,5,2.0,3
group003,4,5,1,G,two c shapes like the Chanel logo,7,2.0,3
group003,4,5,1,G,yes part of the bottom is flat,7,2.0,3
group003,4,6,1,D,this looks like a standing person,6,3.0,3
group003,4,6,1,D,with a triangle and square put together sticking out of the left side,13,3.0,3
group003,4,6,1,D,and the bottom is flat and there's a small triangle at the bottom sticking out left too,17,3.0,3
group003,4,7,1,K,this one is a slim one like a person standing again,11,3.0,3
group003,4,7,1,K,but,1,3.0,3
group003,4,7,1,K,it has a big white triangle on the right side,10,3.0,3
group003,4,7,1,K,and a white small parallelogram shape cut out of the left side,12,3.0,3
group003,4,7,1,K,two black triangles sticking out of the right side,9,3.0,3
group003,4,7,1,K,and the left side is flat at the bottom half,10,3.0,3
group003,4,7,1,K,and then there's the white small shape cut out of the left side,13,3.0,3
group003,4,7,1,K,the parallelogram,2,3.0,3
group003,4,7,1,K,there's a right angle triangle in the bottom left of the shape,12,3.0,3
group003,4,7,1,K,the black shapes make a right angle,7,3.0,3
group003,4,8,1,L,this one makes an s shape,6,3.0,3
group003,4,8,1,L,and has a pointy black triangle pointing out mid way on the right side,14,3.0,3
group003,4,8,1,L,yh triangle out only on the right side,8,3.0,3
group003,4,9,1,A,this one looks like a zombie with the arms sticking to the left up and out and then the head is to the right tilted back,26,3.0,3
group003,4,9,1,A,the legs are walking left,5,3.0,3
group003,4,9,1,A,it looks like,3,3.0,3
group003,4,9,1,A,like,1,3.0,3
group003,4,10,1,H,this on looks the most smooth,6,3.0,3
group003,4,10,1,H,with the least triangles sticking out,6,3.0,3
group003,4,10,1,H,making a fat l shape with only a small flick at the bottom,13,3.0,3
group003,4,10,1,H,the left side is flat,5,3.0,3
group003,4,10,1,H,apart from some white cut outs above and below,9,3.0,3
group003,4,10,1,H,the middle part of the left side is flat,9,3.0,3
group003,4,11,1,E,this one looks like it has bunny ears,8,3.0,3
group003,4,12,2,L,this is the one that looks like an s shape,10,3.0,3
group003,4,12,2,L,with a head,3,3.0,3
group003,4,12,2,L,triangles pointing to the right that look like hands,9,3.0,3
group003,4,13,2,H,this is a person in a sleeping bag with no arms or legs,13,3.0,3
group003,4,13,2,H,with the head sticking out,5,3.0,3
group003,4,14,2,G,this one looks like a high heel shoe,8,2.0,3
group003,4,14,2,G,with a head that has short pigtails,7,2.0,3
group003,4,14,2,G,Looks more like a rabbit head in a high heel shoe,11,2.0,3
group003,4,15,2,E,This is the rabbit head with the flat bottom,9,3.0,3
group003,4,16,2,I,"this is a person on one foot, with the other leg pointing to the right",15,2.0,3
group003,4,16,2,I,triangles pointing to the left,5,2.0,3
group003,4,17,2,D,A person standing upright looking into a book,8,3.0,3
group003,4,17,2,D,A square on the left,5,3.0,3
group003,4,17,2,D,the right is flat,4,3.0,3
group003,4,17,2,D,and so is the bottom,5,3.0,3
group003,4,17,2,D,Think of someone with a large sleeves on their robe,10,3.0,3
group003,4,18,2,B,"The bottom right has a right angle, and there are triangles on the left and right",16,2.0,3
group003,4,18,2,B,the right triangle is separated from the body,8,2.0,3
group003,4,18,2,B,the left triangle is connected,5,2.0,3
group003,4,19,2,J,Right angle on the top left and bottom left,9,2.0,3
group003,4,19,2,J,the left side has a segment taken out of it,10,2.0,3
group003,4,19,2,J,it's the most square looking,5,2.0,3
group003,4,20,2,F,This is the sad person sitting down,7,3.0,3
group003,4,21,2,K,this is the person kneeling,5,1.0,3
group003,4,21,2,K,and praying,2,1.0,3
group003,4,21,2,K,On their knees,3,1.0,3
group003,4,21,2,K,yes to the right,4,1.0,3
group003,4,22,2,A,The bird head one,4,2.0,3
group003,4,23,2,C,"Body slanted to the left, and both hands in the air",11,2.0,3
group003,4,24,3,K,on knees praying,3,2.0,3
group003,4,25,3,D,robe hands reading book,4,3.0,3
group003,4,26,3,H,bean bag/ cucumber,3,2.0,3
group003,4,27,3,G,looks like praying mantis,4,1.0,3
group003,4,27,3,G,c Shape at right and left,6,1.0,3
group003,4,28,3,J,most square one,3,3.0,3
group003,4,29,3,A,bird head,2,3.0,3
group003,4,30,3,B,right triangle separated from body,5,2.0,3
group003,4,30,3,B,left triangle connected,3,2.0,3
group003,4,31,3,E,bunny ears,2,3.0,3
group003,4,32,3,F,sad guy seating on floor,5,3.0,3
group003,4,33,3,C,hands up in the air,5,3.0,3
group003,4,33,3,C,leaning,1,3.0,3
group003,4,34,3,L,praying but knees aren't on ground,6,3.0,3
group003,4,34,3,L,s shape,2,3.0,3
group003,4,35,3,I,yoga guy,2,3.0,3
group003,4,36,4,D,guy with long sleeves and book,6,2.0,3
group003,4,37,4,I,yoga dude,2,2.0,3
group003,4,38,4,G,high heeled shoe with rabbit ears,6,1.0,3
group003,4,39,4,J,square guy,2,2.0,3
group003,4,40,4,H,sleeping bag cucumber,3,3.0,3
group003,4,41,4,L,s shape praying guy standing,5,3.0,3
group003,4,41,4,L,hands to right,3,3.0,3
group003,4,42,4,F,sad sitting man,3,3.0,3
group003,4,43,4,B,"disjointed triangle to the right, joined to the left",9,2.0,3
group003,4,44,4,E,bunny ears with flat bottom,5,3.0,3
group003,4,45,4,C,guy waving his hands in the air,7,2.0,3
group003,4,46,4,K,"praying but on knees,hands at right",6,3.0,3
group003,4,47,4,A,bird face,2,3.0,3
group003,4,48,5,L,s shape,2,3.0,3
group003,4,49,5,C,waving arms,2,2.0,3
group003,4,50,5,F,sad guy,2,3.0,3
group003,4,51,5,B,right triangle. not joined,4,3.0,3
group003,4,51,5,B,left one joined,3,3.0,3
group003,4,52,5,I,yoga,1,2.0,3
group003,4,53,5,K,kneeling praying,2,3.0,3
group003,4,53,5,K,arms to the right,4,3.0,3
group003,4,53,5,K,praying,1,3.0,3
group003,4,54,5,A,zombie or bird head,4,2.0,3
group003,4,55,5,E,bunny ears,2,3.0,3
group003,4,55,5,E,right angle on bottom left,5,3.0,3
group003,4,56,5,J,most square,2,3.0,3
group003,4,57,5,H,sleeping bag,2,3.0,3
group003,4,57,5,H,cucumber,1,3.0,3
group003,4,58,5,G,two c shapes,3,2.0,3
group003,4,58,5,G,chanel,1,2.0,3
group003,4,59,5,D,flat right side,3,3.0,3
group003,4,59,5,D,person standing,2,3.0,3
group003,4,59,5,D,reading book to the left,5,3.0,3
group003,4,59,5,D,left,1,3.0,3
group003,4,60,6,A,bIRD HEAD,2,3.0,3
group003,4,61,6,B,disconnected triangle on right,4,3.0,3
group003,4,62,6,H,sleeping bag,2,2.0,3
group003,4,63,6,K,Kneeling prayer,2,3.0,3
group003,4,63,6,K,on their knees,3,3.0,3
group003,4,64,6,F,sitting man,2,3.0,3
group003,4,65,6,D,long sleeved book,3,3.0,3
group003,4,66,6,L,s shaped,2,3.0,3
group003,4,67,6,J,most square,2,2.0,3
group003,4,68,6,C,"leaning to the left, hands in the air",8,2.0,3
group003,4,69,6,E,flat bottom bunny head,4,3.0,3
group003,4,70,6,I,yoga guy,2,2.0,3
group003,4,71,6,G,rabbit head high heel shoe,5,3.0,3
group004,4,0,1,D,The person has their hands outstretched,6,3.0,3
group004,4,0,1,D,and is standing straight,4,3.0,3
group004,4,0,1,D,as if they are holding a book in front of them,11,3.0,3
group004,4,1,1,A,Similar to the karate kid movie,6,2.0,3
group004,4,1,1,A,the crane kick,3,2.0,3
group004,4,2,1,B,the person is kneeling with their hands stretched out,9,0.0,3
group004,4,2,1,B,not the one facing sideways,5,0.0,3
group004,4,3,1,I,this one is doing a side kick,7,3.0,3
group004,4,3,1,I,with both hands in front,5,3.0,3
group004,4,4,1,K,kneeling and having its hands in front of it,9,2.0,3
group004,4,4,1,K,there's sort of a triangle behind it,7,2.0,3
group004,4,5,1,H,this one is just plain,5,3.0,3
group004,4,5,1,H,"sort of a triangle in front of it, yes no arms out",12,3.0,3
group004,4,5,1,H,yes the one that is very thick,7,3.0,3
group004,4,6,1,G,arms stretched out facing above,5,2.0,3
group004,4,6,1,G,sort of kneeling,3,2.0,3
group004,4,7,1,F,sitting down looking upwards,4,3.0,3
group004,4,8,1,C,as if its flying,4,3.0,3
group004,4,9,1,L,Bent knees and outstretched arms,5,3.0,3
group004,4,9,1,L,parallelogram shape at the legs,5,3.0,3
group004,4,10,1,E,sitting down and it's looking downwards with two triangles on top,11,3.0,3
group004,4,11,1,J,the head is on a flat surface,7,3.0,3
group004,4,11,1,J,no arms,2,3.0,3
group004,4,12,2,K,Kneeling down with a triangle on the upper back and arms outstretched like a book,15,3.0,3
group004,4,13,2,E,Bunny rabbit ears looking down,5,3.0,3
group004,4,14,2,F,Arms tucked under its knees looking down and sitting down,10,3.0,3
group004,4,15,2,C,"Arms facing up like it is flying, body shaped like a parallelogram",12,3.0,3
group004,4,15,2,C,Could say it is praising god,6,3.0,3
group004,4,16,2,L,"Transitioning from standing to kneeling, arms in front like a book, parallelogram legs",13,2.0,3
group004,4,17,2,G,"Head facing upwards, one leg in front and one thick leg behind, arms up too",15,3.0,3
group004,4,17,2,G,Like it is showing a book to the sky,9,3.0,3
group004,4,18,2,I,"Ice skater again, two arms are triangles facing the opposite way of the leg",14,3.0,3
group004,4,19,2,D,"Standing straight, quite basic like a priest wearing robes",9,3.0,3
group004,4,19,2,D,arms out in front,4,3.0,3
group004,4,20,2,A,"Crane kick again, face is like a beak, it is the only one which has a triangle beak face",19,2.0,3
group004,4,21,2,H,Very thick black no arms no legs,7,3.0,3
group004,4,22,2,B,"Two triangle arms, one facing left and one facing right, kneeling a little with a leg to the side",19,2.0,3
group004,4,22,2,B,You could say it is wearing a dress,8,2.0,3
group004,4,23,2,J,"The other thick one, although this time it has a little triangle on the shoulder",15,2.0,3
group004,4,24,3,K,Kneeling down and praying with feet up behind,8,3.0,3
group004,4,25,3,A,Dangly sleeves up opposite head,5,3.0,3
group004,4,25,3,A,Standing on one leg,4,3.0,3
group004,4,26,3,H,Big blobby one with no arms or legs,8,3.0,3
